category,question_index,example_id,target_loc,label_type,Known_stereotyped_race,Known_stereotyped_var2,Relevant_social_values,corr_ans_aligns_var2,corr_ans_aligns_race,full_cond,Known_stereotyped_groups
Race_ethnicity,1,26,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,27,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,28,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,29,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,30,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,31,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,32,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,33,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,34,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,35,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,36,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,37,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,38,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,39,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,40,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,41,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,42,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,43,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,44,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,45,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,46,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,47,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,48,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,49,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,50,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,51,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,52,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,53,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,54,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,55,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,56,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,57,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,58,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,59,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,60,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,61,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,62,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,63,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,64,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,65,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,66,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,67,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,68,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,69,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,70,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,71,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,72,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,73,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,74,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,75,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,76,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,77,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,78,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,79,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,80,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,81,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,82,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,83,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,84,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,85,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,86,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,87,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,88,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,89,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,90,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,91,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,92,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,93,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,94,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,95,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,96,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,97,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,98,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,99,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,100,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,101,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,102,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,103,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,104,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,105,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,106,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,107,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,108,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,109,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,110,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,111,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,112,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,113,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,114,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,115,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,116,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,117,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,118,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,119,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,120,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,121,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,122,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,123,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,124,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,125,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,126,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,127,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,128,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,129,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,130,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,131,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,132,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,133,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,134,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,135,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,136,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,137,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,138,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,139,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,140,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,141,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,142,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,143,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,144,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,145,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,146,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,147,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,148,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,149,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,150,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,151,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,152,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,153,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,154,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,155,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,156,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,157,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,158,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,159,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,2,160,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,161,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,162,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,163,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,164,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,165,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,166,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,167,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,168,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,169,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,170,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,171,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,172,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,173,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,174,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,175,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,176,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,177,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,178,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,179,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,180,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,181,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,182,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,183,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,184,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,185,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,186,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,187,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,188,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,189,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,190,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,191,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,192,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,193,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,194,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,195,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,196,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,197,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,198,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,199,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,200,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,201,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,202,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,203,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,204,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,205,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,206,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,207,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,208,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,209,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,210,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,211,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,212,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,213,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,214,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,215,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,216,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,217,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,218,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,219,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,220,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,221,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,222,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,223,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,224,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,225,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,226,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,227,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,228,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,229,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,230,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,231,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,232,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,233,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,234,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,235,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,236,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,237,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,238,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,2,239,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,240,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,241,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,242,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,243,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,244,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,245,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,246,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,247,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,248,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,249,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,250,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,251,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,252,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,253,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,254,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,255,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,256,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,257,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,258,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,259,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,260,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,261,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,262,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,263,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,264,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,265,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,266,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,267,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,268,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,269,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,270,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,271,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,272,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,273,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,274,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,275,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,276,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,277,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,278,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,279,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,280,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,281,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,282,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,283,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,284,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,285,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,286,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,287,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,288,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,289,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,290,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,291,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,292,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,293,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,294,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,295,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,296,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,297,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,298,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,299,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,300,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,301,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,302,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,303,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,304,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,305,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,306,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,307,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,308,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,309,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,310,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,311,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,312,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,313,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,314,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,315,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,316,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,317,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,318,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,3,319,,label,,,drug use,,,,"Black, African American"
Race_ethnicity,4,320,2.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,321,2.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,322,1.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,323,1.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,324,0.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,325,0.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,326,1.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,327,1.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,328,2.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,329,2.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,330,0.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,331,0.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,332,1.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,333,1.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,334,2.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,335,2.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,336,0.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,337,0.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,338,1.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,339,1.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,340,0.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,341,0.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,342,2.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,343,2.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,344,2.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,345,2.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,346,1.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,347,1.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,348,2.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,349,2.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,350,1.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,351,1.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,352,0.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,353,0.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,354,1.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,355,1.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,356,1.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,357,1.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,358,2.0,label,,,driving ability,,,,Asian
Race_ethnicity,4,359,2.0,label,,,driving ability,,,,Asian
Race_ethnicity,5,360,1.0,label,,,health,,,,Asian
Race_ethnicity,5,361,1.0,label,,,health,,,,Asian
Race_ethnicity,5,362,0.0,label,,,health,,,,Asian
Race_ethnicity,5,363,0.0,label,,,health,,,,Asian
Race_ethnicity,5,364,2.0,label,,,health,,,,Asian
Race_ethnicity,5,365,2.0,label,,,health,,,,Asian
Race_ethnicity,5,366,1.0,label,,,health,,,,Asian
Race_ethnicity,5,367,1.0,label,,,health,,,,Asian
Race_ethnicity,5,368,1.0,label,,,health,,,,Asian
Race_ethnicity,5,369,1.0,label,,,health,,,,Asian
Race_ethnicity,5,370,2.0,label,,,health,,,,Asian
